data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR
20170209;0,1152;4,0332;3,088;0,5199;3,0741;2,9123;2,852;4,3162;1,3981;4,0533;5,0672;0,1492;3,5932;0,1597;0,5806;3,5671;0,4861;0,4559;0,578;0,9609;2,2069;1,0882;1,0775;0,6219;0,0809;0,1967;0,3001;1,2937;0,9086;0,0684;3,0318;6,0219;0,3527;0,5875;5,4882
20170210;0,1153;4,0435;3,088;0,5212;3,0765;2,905;2,8435;4,303;1,3953;4,0322;5,0537;0,1485;3,5577;0,1592;0,5788;3,5621;0,4829;0,4537;0,5762;0,9563;2,2001;1,1009;1,08;0,6261;0,081;0,1991;0,3033;1,2917;0,9097;0,0689;3,0365;6,052;0,3518;0,5876;5,4648
20170213;0,1155;4,0496;3,1048;0,5219;3,0901;2,9117;2,8483;4,3077;1,3966;4,0385;5,0673;0,1489;3,558;0,1594;0,5794;3,5763;0,4836;0,4545;0,5784;0,9568;2,2025;1,0978;1,081;0,6331;0,0811;0,1988;0,3041;1,2997;0,9103;0,0699;3,0387;6,0438;0,3517;0,5887;5,4875
20170214;0,1159;4,0525;3,1131;0,5222;3,1058;2,9113;2,8582;4,3025;1,3945;4,034;5,0537;0,1491;3,5725;0,1592;0,5786;3,6034;0,4844;0,4545;0,5772;0,9553;2,1998;1,1102;1,0816;0,6311;0,0813;0,2002;0,3066;1,3024;0,9107;0,0703;3,0399;6,0547;0,3559;0,5902;5,4824
20170215;0,1164;4,0752;3,1322;0,5251;3,1175;2,928;2,8642;4,3025;1,3951;4,042;5,0627;0,1511;3,5603;0,1592;0,5786;3,6508;0,4854;0,4546;0,5771;0,9548;2,1999;1,1181;1,0873;0,6355;0,0817;0,2009;0,3136;1,3213;0,9162;0,071;3,0579;6,092;0,3573;0,5933;5,4845
20170216;0,1159;4,0567;3,1211;0,5227;3,1104;2,9318;2,8599;4,316;1,4015;4,0516;5,0765;0,1504;3,5705;0,1597;0,5805;3,6654;0,488;0,456;0,5793;0,9543;2,2068;1,1034;1,086;0,6348;0,0812;0,1994;0,312;1,3268;0,9109;0,0709;3,0455;6,0537;0,3558;0,5915;5,5199
20170217;0,1163;4,0693;3,1171;0,5243;3,1087;2,924;2,8722;4,3314;1,4071;4,0711;5,0533;0,1505;3,6039;0,1603;0,5827;3,6863;0,4886;0,4571;0,5816;0,9583;2,2146;1,1072;1,0951;0,6368;0,0812;0,199;0,3102;1,3174;0,9139;0,0705;3,0525;6,063;0,3538;0,5925;5,5075
20170220;0,1162;4,0692;3,1225;0,5243;3,1076;2,923;2,8688;4,3227;1,4022;4,0564;5,0712;0,1507;3,5979;0,1599;0,5815;3,6962;0,4877;0,4563;0,5803;0,9555;2,2101;1,1201;1,098;0,6318;0,0808;0,1985;0,3098;1,3107;0,9127;0,0702;3,047;6,075;0,3549;0,5917;5,4993
20170221;0,1168;4,0942;3,134;0,5275;3,1115;2,921;2,8782;4,3163;1,4031;4,0561;5,0888;0,1514;3,599;0,1597;0,5807;3,6907;0,4882;0,4555;0,5793;0,9556;2,2069;1,1309;1,1033;0,6386;0,0814;0,2001;0,3114;1,3263;0,9185;0,0706;3,0617;6,1137;0,3571;0,5947;5,4911
20170222;0,1168;4,0899;3,1424;0,527;3,1046;2,9303;2,8828;4,2977;1,3988;4,0375;5,086;0,1515;3,6146;0,1591;0,5782;3,7129;0,4883;0,4542;0,5771;0,9511;2,1974;1,1307;1,1032;0,6358;0,0813;0,2038;0,3123;1,3209;0,9184;0,0707;3,059;6,1047;0,3576;0,5945;5,5056
